Policy Name Variant,Id,Date,Url,Full Text,Hashtags,Views Count,Favourite Count,Retweet Count,Reply Count,Language,Image Urls,Video Urls,User Mentions,User Profile Id,User Description,User Name,User Followers Count,sentiment_transformer
National AIDS Control Organisation,1769730291902611843,Mon Mar 18 14:19:16 +0000 2024,https://twitter.com/TheOfficialKSA/status/1769730291902611843,"National AIDS Control Organisation (NACO) Scholarship Programme 2024
https://t.co/qDmkrz7oi4",[],80,0,0,0,en,[],[],[],1056101319772057600,"Official Twitter account of Kashmir Student Alerts. 𝗞𝗦𝗔 provides Educational services, Business Promotions, Job Alerts & Philanthropy.",TheOfficialKSA,5332,0
National AIDS Control Organisation,1763217955452510462,Thu Feb 29 15:01:34 +0000 2024,https://twitter.com/AIRNES_Shillong/status/1763217955452510462,"The Bands from North East assembled in Shillong  for RED FEST,North East, Multimedia Campaign led by National AIDS Control Organisation 
Do listen to their  message and songs. https://t.co/gZFByYpBTd",[],29,0,0,0,en,['https://pbs.twimg.com/media/GHg1X9wXoAATjQk.jpg'],[],[],1004298129540182016,"We are the North Eastern Service ,Akashvani Shillong, primarily broadcasting progs in Hindi and English, also accommodating languages and dialects of NE.",AIRNES_Shillong,232,0
National AIDS Control Organisation,1754727102597726651,Tue Feb 06 04:41:57 +0000 2024,https://twitter.com/andamansacs/status/1754727102597726651,"🛡️ Stand Strong Against HIV &amp; AIDS! 🛡️

🌐 National AIDS Control Organisation 🌐

• Join hands to combat HIV &amp; AIDS.

Together, let's fight against HIV &amp; AIDS! 💪🤝#ANACS #NACO #HIVPrevention 🩺🌍 https://t.co/adg0rV1oR8","['ANACS', 'NACO', 'HIVPrevention']",9,0,0,0,en,['https://pbs.twimg.com/media/GFoK87sXIAAzgN3.jpg'],[],[],1288136942366814208,"A & N AIDS Control Society (ANACS) was registered under the Societies Registration Act 1860 on 30th Oct. 1998 as per the direction of MoHFW, GoI",andamansacs,483,2
National AIDS Control Organisation,1754726783247663205,Tue Feb 06 04:40:41 +0000 2024,https://twitter.com/andamansacs/status/1754726783247663205,"🌟 Join Forces Against HIV &amp; AIDS! 🌟

🌐 NACO: National AIDS Control Organisation 🌐

• Together, we can combat HIV &amp; AIDS.

Let's stand united in the fight against HIV/AIDS! 💪👥
#ANACS #NACO #HIVAwareness 🩺🤝 https://t.co/ZkFu0XZHLv","['ANACS', 'NACO', 'HIVAwareness']",9,0,0,0,en,['https://pbs.twimg.com/media/GFoKnsJXsAANeaX.jpg'],[],[],1288136942366814208,"A & N AIDS Control Society (ANACS) was registered under the Societies Registration Act 1860 on 30th Oct. 1998 as per the direction of MoHFW, GoI",andamansacs,483,0
National AIDS Control Organisation,1748650789378400698,Sat Jan 20 10:16:51 +0000 2024,https://twitter.com/Jagabondhoo/status/1748650789378400698,"@vrrrr17 @jon_suante @Lal_Duhoma ""Reported"" yes.  Reference is the NATIONAL AIDS CONTROL ORGANISATION report 2022. https://t.co/VEw2TuJq0e",[],9,0,0,0,en,"['https://pbs.twimg.com/media/GER0nvyboAEPSBe.jpg', 'https://pbs.twimg.com/media/GER0n-1aIAAfzcf.jpg']",[],"['vrrrr17', 'jon_suante', 'Lal_Duhoma']",53968777,Spiriticus sancti 🌟,Jagabondhoo,441,0
National AIDS Control Organisation,1748533554600939729,Sat Jan 20 02:31:00 +0000 2024,https://twitter.com/andamansacs/status/1748533554600939729,"🩺 Shield Your Love! 🚫
 National AIDS Control Organisation advocates using condoms for safer sex. Prevention is in your hands; safeguard your partner and yourself. 💑🛡️ #HIVPrevention #NACO #HIV #AIDS https://t.co/kijCLb0QZ1","['HIVPrevention', 'NACO', 'HIV', 'AIDS']",41,0,0,0,en,['https://pbs.twimg.com/media/GEBqzNtW0AAP9a3.jpg'],[],[],1288136942366814208,"A & N AIDS Control Society (ANACS) was registered under the Societies Registration Act 1860 on 30th Oct. 1998 as per the direction of MoHFW, GoI",andamansacs,483,0
National AIDS Control Organisation,1747105377953394976,Tue Jan 16 03:55:56 +0000 2024,https://twitter.com/andamansacs/status/1747105377953394976,"🔒 Confidential &amp; Consensual HIV Testing! 🌐

National AIDS Control Organisation assures: • Under HIV &amp; AIDS Act, 2017, your privacy is paramount. 🤐 Rest easy, your health matters! 💪❤️ #HIVTesting #NACO 🌟#ANACS https://t.co/VazQxFIizf","['HIVTesting', 'NACO', 'ANACS']",30,0,0,0,en,['https://pbs.twimg.com/media/GD73BTFW0AAMkm4.jpg'],[],[],1288136942366814208,"A & N AIDS Control Society (ANACS) was registered under the Societies Registration Act 1860 on 30th Oct. 1998 as per the direction of MoHFW, GoI",andamansacs,483,0
National AIDS Control Organisation,1745299255969862015,Thu Jan 11 04:19:03 +0000 2024,https://twitter.com/andamansacs/status/1745299255969862015,"🩺 Shield Against HIV! 🛡️
National AIDS Control Organisation advises: Use a condom during sex for HIV prevention. 🌍❤️ Let's prioritize protection for a safer, healthier future! 💪🩺 #HIVPrevention #NACO #ANACS #AIDS #HIV🌟 https://t.co/AAi30EjPKF","['HIVPrevention', 'NACO', 'ANACS', 'AIDS', 'HIV']",40,0,0,0,en,['https://pbs.twimg.com/media/GDiMUbQWIAARMsp.jpg'],[],[],1288136942366814208,"A & N AIDS Control Society (ANACS) was registered under the Societies Registration Act 1860 on 30th Oct. 1998 as per the direction of MoHFW, GoI",andamansacs,483,0
National AIDS Control Organisation,1735660703053484407,Fri Dec 15 13:58:53 +0000 2023,https://twitter.com/mizozeitgeist/status/1735660703053484407,"competed at the Regional Level Quiz Contest which is organised by National AIDS Control Organisation (NACO) under Ministry of Health &amp;FW.
The Champion Mizoram Team received a trophy and a cash reward of ₹50000. The PES duo will represent Mizoram at the National Level Competition https://t.co/VN8es90hX0",[],187,7,1,0,en,"['https://pbs.twimg.com/media/GBZONSzW8AE7ZT4.jpg', 'https://pbs.twimg.com/media/GBZONhMXoAAqLmy.jpg']",[],[],2611417716,"🇾🇪about #Mizo #Mizoram and beyond...🌏
Likes & RTs not an endorsement. 
📧DM for removal of any pic or video if you own.",mizozeitgeist,8190,2
National AIDS Control Organisation,1733975149245067772,Sun Dec 10 22:21:05 +0000 2023,https://twitter.com/StigmabaseU/status/1733975149245067772,"TW :  Scale up PrEP to prevent HIV, say experts: ...persists in general population clubbed with stigma around the disease. According to the. National AIDS Control organisation India HIV Estimates Factsheet 2021, annual infection rates of HIV in India are… https://t.co/AMYb5SWOfb",[],20,0,0,0,en,[],[],[],208056970,"Health & Women — India, Türkçe, Ελληνικά, Čeština — Canadian Non-Governmental & Nonprofit Initiative — Part of @stigmabase TEAM",StigmabaseU,2620,0
National AIDS Control Organisation Internship,990583770586734592,Sun Apr 29 13:29:09 +0000 2018,https://twitter.com/RostrumLegal/status/990583770586734592,Internship at National AIDS Control Organisation. To know the details visit: https://t.co/Be8MHQpjDr,[],0,0,0,0,en,[],[],[],913973916,India's Leading Legal Education Platform,RostrumLegal,327,0
Quality Improvement Programme,1781446916703940928,Fri Apr 19 22:16:57 +0000 2024,https://twitter.com/otkenkondo/status/1781446916703940928,"Reading #126
傾向スコアマッチングを使用した研究です。
Effect of a Targeted Ambulance Treatment Quality Improvement Programme on Outcomes from Out-of-Hospital Cardiac Arrest: A Metropolitan Citywide Intervention Study https://t.co/ObHs3Vk8Yz #mdpijcm via @JCM_MDPI",['mdpijcm'],129,0,0,0,ja,[],[],['JCM_MDPI'],1237221752217800704,"作業療法分野の研究を行っています。認定作業療法士、認定AMPS評価者
研究テーマ：半側空間無視/脳卒中上肢機能/多職種連携/がんリハビリテーション/自助具/3Dプリンター/TOEIC L＆R 810点（目標860点）https://t.co/RD2OBcsSO3",otkenkondo,767,0
Quality Improvement Programme,1781282432081125579,Fri Apr 19 11:23:21 +0000 2024,https://twitter.com/careexperience/status/1781282432081125579,"The findings of the first National End of Life Survey were published earlier this month. They will be used to develop national and local quality improvement plans, end-of-life care policy and will drive improvements in support for dying and bereaved people. https://t.co/bC8AFWgUVh",[],169,3,0,1,en,['https://pbs.twimg.com/media/GLhirdxWMAAisLK.jpg'],[],[],829335814903574528,We ask people about their experiences of care and use their feedback to improve the quality of Ireland’s health and social care services.,careexperience,3371,2
Quality Improvement Programme,1781249090103226501,Fri Apr 19 09:10:51 +0000 2024,https://twitter.com/SHFT_transforms/status/1781249090103226501,"@hamtun_picu @SHFT_Research ""This project proved that respecting patients, individual risk assessments, and making things easier for staff has great benefits.

Reviewing this process with staff has generated more ideas and shared ownership of the issue.""

Well done Hamtun team! 👏🏼

More below ⬇
#SHFT #QI https://t.co/cdJnQreq0j","['SHFT', 'QI']",58,1,0,0,en,['https://pbs.twimg.com/media/GLhD-IrWsAAD22E.jpg'],[],"['hamtun_picu', 'SHFT_Research']",1017377008785985536,"We are the @Southern_NHSFT Quality Improvement Programme. Working alongside patients, carers, families and staff to improve our services.",SHFT_transforms,1272,2
Quality Improvement Programme,1781247178112967017,Fri Apr 19 09:03:15 +0000 2024,https://twitter.com/SHFT_transforms/status/1781247178112967017,"@hamtun_picu @SHFT_Research Patient feedback:

""I feel like I can show that I can be responsible by having items in my room... I know that through care planning I must look after my risk items... I remain hopeful to have further dialogue with the team. Things are certainly better now""

#patientexperience 🙌🏼",['patientexperience'],79,1,1,1,en,[],[],"['hamtun_picu', 'SHFT_Research']",1017377008785985536,"We are the @Southern_NHSFT Quality Improvement Programme. Working alongside patients, carers, families and staff to improve our services.",SHFT_transforms,1272,2
Quality Improvement Programme,1781246516830589389,Fri Apr 19 09:00:38 +0000 2024,https://twitter.com/SHFT_transforms/status/1781246516830589389,"@hamtun_picu @SHFT_Research 📈Outcome
👉🏼Security handover time reduced by half &amp; less staff needed
👉🏼30 mins reinvested in service users for meaningful activities
👉🏼Better relationships with service users
👉🏼Building trust
👉🏼Fewer incidents - calmer ward environment
👉🏼Staff less stressed on security handover",[],34,0,0,1,en,[],[],"['hamtun_picu', 'SHFT_Research']",1017377008785985536,"We are the @Southern_NHSFT Quality Improvement Programme. Working alongside patients, carers, families and staff to improve our services.",SHFT_transforms,1272,0
Quality Improvement Programme,1781246369161965942,Fri Apr 19 09:00:03 +0000 2024,https://twitter.com/SHFT_transforms/status/1781246369161965942,"✍ @solentacademy are looking for six teams to join the programme starting in June 2024

📧 For expressions of interest or further details, contact quality.improvement@solent.nhs.uk

#QI #QualityImprovement","['QI', 'QualityImprovement']",154,2,1,0,en,[],[],['solentacademy'],1017377008785985536,"We are the @Southern_NHSFT Quality Improvement Programme. Working alongside patients, carers, families and staff to improve our services.",SHFT_transforms,1272,0
Quality Improvement Programme,1781244599933014120,Fri Apr 19 08:53:01 +0000 2024,https://twitter.com/SHFT_transforms/status/1781244599933014120,"@hamtun_picu @SHFT_Research Service users and staff were involved in the process of improvement and able to discuss changes over coffee mornings

Observing the feedback, Amanda used the PDSA cycle to produce a series of viable improvements

QI Tools used:
✅ PDSA cycle
✅ 5S's
✅ Driver diagram

👏👏👏",[],69,1,1,1,en,[],[],"['hamtun_picu', 'SHFT_Research']",1017377008785985536,"We are the @Southern_NHSFT Quality Improvement Programme. Working alongside patients, carers, families and staff to improve our services.",SHFT_transforms,1272,2
Quality Improvement Programme,1781240151408062902,Fri Apr 19 08:35:20 +0000 2024,https://twitter.com/SHFT_transforms/status/1781240151408062902,"We had four staff members championing their #QI work with fantastic posters and talks...

⌛ Amanda Gotts' project aim for @hamtun_picu was to reduce time spent on security checks, and improve staff-patient relationships when implementing these checks

🧵⬇ https://t.co/d9WOZRa8a1",['QI'],73,1,1,1,en,['https://pbs.twimg.com/media/GLg79e8W0AAM8Y8.jpg'],[],['hamtun_picu'],1017377008785985536,"We are the @Southern_NHSFT Quality Improvement Programme. Working alongside patients, carers, families and staff to improve our services.",SHFT_transforms,1272,2
Quality Improvement Programme,1780985553284194454,Thu Apr 18 15:43:39 +0000 2024,https://twitter.com/SHFT_transforms/status/1780985553284194454,"⭐ Last week, @Southern_NHSFT staff attended #MHImprove, an event in London specifically designed for those working in mental health care with an interest in QI

 🗣 This interactive event provided a platform for attendees to network, showcase projects and enhance their knowledge https://t.co/kpBLakZJWS",['MHImprove'],408,8,2,1,en,['https://pbs.twimg.com/media/GLdUquvWYAA3Cbx.jpg'],[],['Southern_NHSFT'],1017377008785985536,"We are the @Southern_NHSFT Quality Improvement Programme. Working alongside patients, carers, families and staff to improve our services.",SHFT_transforms,1272,2
Quality Improvement Programme,1780929953606828123,Thu Apr 18 12:02:43 +0000 2024,https://twitter.com/Aqua_NHS/status/1780929953606828123,"Last chance to apply for our Improvement Practitioner programme!

Refresh your Quality Improvement knowledge and build connections and relationships with your peers! 🆕

Don't miss out 📣

📅 Applications close Friday 26 April

Apply now: https://t.co/IPkqgYGdJp https://t.co/JfyPx0HEU3",[],125,0,0,0,en,['https://pbs.twimg.com/media/GLciWuWWAAAJiaI.jpg'],[],[],551889886,"We support our members and customers to improve the quality of health and care across the UK and beyond. 
https://t.co/d9vFrHyXQa",Aqua_NHS,7113,2
Quality Improvement Programme,1780887241222508975,Thu Apr 18 09:13:00 +0000 2024,https://twitter.com/SWBHLibrary/status/1780887241222508975,Achieving optimal cord management: a multidisciplinary quality improvement initiative https://t.co/sz92WCnW6Z Latest Quality Improvement Programme from @BMJOpenQuality @SWBHnhs,[],44,0,0,0,en,[],[],"['BMJOpenQuality', 'SWBHnhs']",3367788730,"Library Services for all staff & students at Sandwell and West Birmingham NHS Trust
Staffed hours are 8.30-4.30 Mon-Fri (Sandwell) & 8.30-4.30 Mon-Thurs (City)",SWBHLibrary,715,2
Quality Improvement Programme,1780724694506782793,Wed Apr 17 22:27:06 +0000 2024,https://twitter.com/elainemcfOT/status/1780724694506782793,12 month preceptorship programme completed and a quality improvement project to understand the benefits of a band 5 OT in itu completed ! Thanks you @UHBPreceptee for the support in my first year 💚👩🏽‍⚕️,[],426,6,0,0,en,[],[],['UHBPreceptee'],1395138302819307525,B5 Rotational Occupational Therapist 💚👩‍🎓📚 Interested in early rehab and delirium prevention 🧠  Baker 🧁 Do what makes you happy.,elainemcfOT,27,2
Quality Improvement Programme,1780547778336235863,Wed Apr 17 10:44:05 +0000 2024,https://twitter.com/HSE_CDI/status/1780547778336235863,"Acute stroke units reduce mortality and dependence. HSCPs are core team members, providing expert knowledge &amp; skills. The National Clinical Programme for Stroke are leading on a national quality improvement project to improve swallowing screening rates #HSCPDay2024 #HSCPDeliver https://t.co/O5YT87MVZa","['HSCPDay2024', 'HSCPDeliver']",1569,32,8,1,en,['https://pbs.twimg.com/media/GLXFvBUXQAAoHb2.png'],[],[],4405627115,"HSE Clinical Design and Innovation, working towards patient-centred coordinated care.",HSE_CDI,6992,2
Quality Improvement Programme,1780280693248983292,Tue Apr 16 17:02:47 +0000 2024,https://twitter.com/Aqua_NHS/status/1780280693248983292,"Last chance to apply for our Improvement Practitioner programme!

Refresh your Quality Improvement knowledge and earn 8 CPD points! 🆕

Don't miss out 📣

📅 Applications close Friday 26 April

Apply now: https://t.co/IPkqgYGdJp https://t.co/H22yhR115y",[],234,1,1,0,en,[],['https://video.twimg.com/ext_tw_video/1780279089057746944/pu/vid/avc1/480x270/x67X1N6aZYRzFCeS.mp4?tag=12'],[],551889886,"We support our members and customers to improve the quality of health and care across the UK and beyond. 
https://t.co/d9vFrHyXQa",Aqua_NHS,7113,2
Quality Improvement Programme,1780144321892692250,Tue Apr 16 08:00:54 +0000 2024,https://twitter.com/ClaireMartinots/status/1780144321892692250,Looking forward to Quality Improvement Programme and getting started on our project https://t.co/qMMcDpZgBP,[],132,5,0,0,en,['https://pbs.twimg.com/media/GLRX0V4WIAAkW46.jpg'],[],[],885599177899745280,Team Lead  for Mental Health Allied Health Professionals. Registered occupational therapist in mental health. Retweets do not signify endorsement.,ClaireMartinots,371,0
Quality Improvement Programme,1779855387551764679,Mon Apr 15 12:52:47 +0000 2024,https://twitter.com/SHFT_transforms/status/1779855387551764679,"📅 Our latest QI Certified Leader course is under way today!

🎖 This 6-day course will introduce @Southern_NHSFT employees to QI &amp; equip those who complete the course with the necessary skills to become a QI Leader

⭐ We're excited to follow the cohort's progress!

#QI #SHFTQI https://t.co/pLCdCABxoN","['QI', 'SHFTQI']",186,7,1,0,en,['https://pbs.twimg.com/media/GLNK1YkWAAAZcNJ.jpg'],[],['Southern_NHSFT'],1017377008785985536,"We are the @Southern_NHSFT Quality Improvement Programme. Working alongside patients, carers, families and staff to improve our services.",SHFT_transforms,1272,2
Quality Improvement Programme,1779796815094968539,Mon Apr 15 09:00:02 +0000 2024,https://twitter.com/SHFT_transforms/status/1779796815094968539,"🌟 Looking to improve your skills and take your demand, capacity management, and planning approach to the next level?

⏳ Starting in June in Southampton and set across four months, Solent's course is designed to help you enhance your capabilities and reduce waiting lists &amp; times https://t.co/ZbCif1i0qu",[],258,2,1,0,en,['https://pbs.twimg.com/media/GKoiHDPWEAEj_W9.jpg'],[],[],1017377008785985536,"We are the @Southern_NHSFT Quality Improvement Programme. Working alongside patients, carers, families and staff to improve our services.",SHFT_transforms,1272,2
Quality Improvement Programme,1779459841620136180,Sun Apr 14 10:41:01 +0000 2024,https://twitter.com/CELCIStweets/status/1779459841620136180,"What is Quality Improvement and how can it effect real change in public services? Our online resource showcases how the PACE programme supported Scottish local authorities to reduce permanence planning timescales for babies, children and young people: https://t.co/F9d97fdvm5 https://t.co/Wnlo0NnXB2",[],443,6,0,0,en,['https://pbs.twimg.com/media/GLHpS24WsAA6W6d.jpg'],[],[],370590741,We are the Centre for Excellence for Children's Care and Protection.,CELCIStweets,12482,2
Quality Improvement Programme,1778762550479393250,Fri Apr 12 12:30:14 +0000 2024,https://twitter.com/mimslearning/status/1778762550479393250,"Did you miss? In this video, Professor Raj Thakkar (@DrRajThakkar) and Dr Jim Moore discuss the aims and objectives of the PCCS (@PCCS_UK) Lipid Quality Improvement Programme as well as the importance of achieving lipid targets in primary care. https://t.co/E6CvFMAufS https://t.co/6S0qR4CePV",[],175,3,2,0,en,['https://pbs.twimg.com/media/GK9vHNSWMAAQSXI.jpg'],[],"['DrRajThakkar', 'PCCS_UK']",217081149,Clinical education for primary and secondary care. Keep updated and ease the pain of the annual appraisal process with our flexible learning platform.,mimslearning,1574,0
Quality Improvement Programme,1778522391368679773,Thu Apr 11 20:35:56 +0000 2024,https://twitter.com/MidwifeChanny68/status/1778522391368679773,"@LChoucri @JamesTitcombe @SandallJane Needs an increased skilled midwifery workforce to make it achievable, but reaching the most vulnerable and deprived is a key focus. Proud to be working on the RHO health inequalities, quality improvement programme with colleagues at NCA and wider participating Trusts",[],124,2,0,0,en,[],[],"['LChoucri', 'JamesTitcombe', 'SandallJane']",1685528760,Mama to 4 | #Carer to Amélie🧏🏻‍♀️👩🏻‍🦯 #NHS 40yr | #Midwife #NMP #PMA Assistant Director for Maternity Services @Maternity_NCA @NCAlliance_NHS she/her,MidwifeChanny68,2424,2
Quality Improvement Programme (QIP),1762415986299310328,Tue Feb 27 09:54:49 +0000 2024,https://twitter.com/UHMBT_CQI/status/1762415986299310328,At @UHMBT we are... Compassionate! We are very proud to support Quality Improvement Projects (QIP) that have patients at the heart ♥️ Do you have a QIP to help make us a great place to be cared for? Express your interest in our QSIR V programme here &gt;&gt;https://t.co/1zm9sWsdBe https://t.co/wlZoockkjU,[],317,6,2,0,en,['https://pbs.twimg.com/media/GHVaBOyXoAAYxH5.jpg'],[],['UHMBT'],1291037872171241477,Welcome to Continuous Quality Improvement (CQI) @UHMBT.....empowering staff to improve services benefiting patients and colleagues #ImprovingTogetherUHMBT,UHMBT_CQI,647,2
Quality Improvement Programme (QIP),1728070716027760687,Fri Nov 24 15:18:59 +0000 2023,https://twitter.com/RCollEM/status/1728070716027760687,"A brilliant opportunity to join a QIP as a team member is closing on 30 Nov.

🌟Quality Improvement Programme - Adolescent Mental Health in the Emergency Department🌟

ℹ️ More details: https://t.co/0Kww3deXRe 

@nqican @FiMcD3 @KirkwoodDW @EMTAcommittee @EMSAS_RCEM @AssocPEM https://t.co/lqAWmoAOv6",[],5947,22,21,6,en,[],[],"['nqican', 'FiMcD3', 'KirkwoodDW', 'EMTAcommittee', 'EMSAS_RCEM', 'AssocPEM']",3017428265,The Royal College of Emergency Medicine. The membership body representing Emergency Department (A&E) staff and their patients. #ResuscitateEmergencyCare,RCollEM,32319,2
