Policy Name,Policy Name Variant,Id,Date,Url,Full Text,Hashtags,Views Count,Favourite Count,Retweet Count,Reply Count,Language,Image Urls,Video Urls,User Mentions,User Profile Id,User Description,User Name,User Followers Count
Agri-Clinics And Agri-Business Centres Scheme,Agri-Clinics And Agri-Business Centres,1713942792966426995,Mon Oct 16 15:39:40 +0000 2023,https://twitter.com/dr_vaibhavkumar/status/1713942792966426995,"I had the privilege of delivering an expert session on “Introduction to Intellectual Property Rights in Agribusiness” at the Agri-clinics and Agri-Business Centres Scheme hosted by AABMI, NAU, Navsari on 16.10.2023. 
#Agribusiness #IntellectualPropertyRights @NAUOfficial https://t.co/nlrVIOu1k8","['Agribusiness', 'IntellectualPropertyRights']",53,2,1,0,en,"['https://pbs.twimg.com/media/F8kl4QobgAArsQM.jpg', 'https://pbs.twimg.com/media/F8kl4QlboAABO7C.jpg', 'https://pbs.twimg.com/media/F8kl4Qoa4AAgR94.jpg', 'https://pbs.twimg.com/media/F8kl4QqbUAAc8Qj.jpg']",[],['NAUOfficial'],957633877815603200,"Assistant Professor (Nanotechnology), Navsari Agricultural University, Surat || Registered Indian Patent Agent (IN/PA 4259) || Philanthropist || Motivator",dr_vaibhavkumar,163
Agri-Clinics And Agri-Business Centres Scheme,Agri-Clinics And Agri-Business Centres,1674482951323807745,Thu Jun 29 18:20:20 +0000 2023,https://twitter.com/agrighar/status/1674482951323807745,"#Prrogram RTP on “Agri-Advisory Services and Market Linkages for FPOs” 
 Under Agri. – Clinics and Agri-Business Centres [AC&amp;ABC] Scheme in Collaboration with Centre for Sustainable Agriculture
 @sowminisunkara was invited by Manage team as a resource person to deliver a session https://t.co/KUd3aNQQHz",['Prrogram'],64,4,0,0,en,[],['https://video.twimg.com/ext_tw_video/1674482905148432404/pu/vid/320x326/o_l5lwxBqE86y9eF.mp4?tag=12'],['sowminisunkara'],1217031401297432576,Agrighar one stop platform for promoting rurban livelihoods through entrepreneurship/employment in Agri & allied sectors,agrighar,508
Agri-Clinics And Agri-Business Centres Scheme,Agri-Clinics And Agri-Business Centres,1673974868885512192,Wed Jun 28 08:41:24 +0000 2023,https://twitter.com/IcarPoultry/status/1673974868885512192,"DPR organized a three-day Refresher Training Programme on Poultry Management under Agri Clinics and Agri-Business Centres Scheme, MANAGE during 21-23 June 2023. Dr.R.N.Chatterjee, Director, inaugurated the training &amp;interacted with agri-entrepreneurs @icarindia @acabc_manage https://t.co/oth9BtsbJa",[],95,0,0,0,en,"['https://pbs.twimg.com/media/FzsnOHBagAARvi8.jpg', 'https://pbs.twimg.com/media/FzsnOHraEAESZQd.jpg', 'https://pbs.twimg.com/media/FzsnPvnaAAAhBlI.jpg']",[],"['icarindia', 'acabc_manage']",1292709129018994689,"The official Twitter page of ICAR-Directorate of Poultry Research, an establishment of ICAR @icarindia  under @dare_goi @AgriGoI. RT does not imply endorsement.",IcarPoultry,253
Agri-Clinics And Agri-Business Centres Scheme,Agri-Clinics And Agri-Business Centres,1660598218701275137,Mon May 22 10:47:22 +0000 2023,https://twitter.com/ARCCJournal/status/1660598218701275137,"Bhartiya Krishi Anusandhan Patrika Published Volume 38 Issue 1 (MARCH 2023)

Progress and Performance of Agri-clinics and Agri-business Centres Scheme in India

G. Vijaya Bharathi, P. Sudhakar

doi10.18805/BKAP436

Cite article:- B…https://t.co/5aIGJbe1bI https://t.co/pJFfKGenIR",[],10,0,0,0,ro,[],[],[],380338150,Agricultural Research Communication Centre is a registered body established in the year 1967 by Sh. R.D. Goel.,ARCCJournal,1987
Agri-Clinics And Agri-Business Centres Scheme,Agri-Clinics And Agri-Business Centres,1622407072292769794,Mon Feb 06 01:29:23 +0000 2023,https://twitter.com/Suraj_Kushwaha_/status/1622407072292769794,"कृषि-क्लीनिक और कृषि-व्यवसाय केंद्र योजना क्या है और कैसे अप्लाई करें | What is Agri-Clinics And Agri-Business Centres Scheme and how to Apply

कृषि-क्लीनिक और कृषि-व्यवसाय केंद्र योजना का परिचय – कृषि और किसान कल्याण मंत्रालय द्वारा 2002 में एक

https://t.co/JVBAYpFMke https://t.co/cgJaKGNzPk",[],32,0,0,0,hi,['https://pbs.twimg.com/media/FoPyooaXEAEeZyO.jpg'],[],[],780024141000826880,Computer Operator,Suraj_Kushwaha_,47
Agri-Clinics And Agri-Business Centres Scheme,Agri-Clinics And Agri-Business Centres,1617802954165354497,Tue Jan 24 08:34:16 +0000 2023,https://twitter.com/DrPramodPSawant/status/1617802954165354497,"Congratulated Shri. Minanath Mohan Zalmi for getting the First position Best Agripreneur Award 2018, Goa State under the Central Sector Scheme Agri-Clinics and Agri-Business Centres, Ministry of Agriculture and Family Welfare, Govt of India. 1/2 https://t.co/FsQTKaOX3s",[],2845,67,8,2,en,['https://pbs.twimg.com/media/FnOXNZSacAEwrkR.jpg'],[],[],785783685937295360,Chief Minister of Goa,DrPramodPSawant,142885
Agri-Clinics And Agri-Business Centres Scheme,Agri-Clinics And Agri-Business Centres,1604035137637081093,Sat Dec 17 08:45:53 +0000 2022,https://twitter.com/AgriGoI/status/1604035137637081093,"Signing of MoU between MANAGE and @TheOfficialSBI at Mumbai on 17.12.2022 for extending credit facility to agripreneurs for establishment of agriventures  under Agri-Clinics and Agri-Business Centres programme of DA&amp;FW, MoA&amp;FW, GoI.
#agrigoi #AIF #Agribusiness #G20
#credit https://t.co/fU96Hj4JEk","['agrigoi', 'AIF', 'Agribusiness', 'G20', 'credit']",2706,39,18,4,en,['https://pbs.twimg.com/media/FkKtdO6VEAAtl1j.jpg'],[],['TheOfficialSBI'],1461447398,"This is official Twitter Handle of the Department of #Agriculture & #Farmers Welfare, Ministry of Agriculture & Farmers Welfare, Government of India",AgriGoI,512910
Agri-Clinics And Agri-Business Centres Scheme,Agri-Clinics And Agri-Business Centres,1557408044631281665,Wed Aug 10 16:46:27 +0000 2022,https://twitter.com/vc_nau/status/1557408044631281665,"AABMI, Navsari successfully organized its First 45 Days Professional Certified Agripreneurship Training Programme under Agri-clinics and Agri-business Centres scheme which is a flagship scheme of Ministry of Agriculture &amp; Farmers Welfare and implemented by MANAGE, Hyderabad https://t.co/RRbAoW9Lu8",[],0,13,1,0,en,"['https://pbs.twimg.com/media/FZ0GV64VEAokP4B.jpg', 'https://pbs.twimg.com/media/FZ0GV6-VEAAY_-_.jpg', 'https://pbs.twimg.com/media/FZ0GV7GUIAERvjy.jpg', 'https://pbs.twimg.com/media/FZ0GV6wUsAAANyx.jpg']",[],[],1329049979248250880,"Official Account of Vice Chancellor, Navsari Agricultural University",vc_nau,681
Agri-Clinics And Agri-Business Centres Scheme,Agri-Clinics And Agri-Business Centres,1552550570917249024,Thu Jul 28 07:04:35 +0000 2022,https://twitter.com/CaieGwalior/status/1552550570917249024,"DDM NABARD Gwalior organized District Level Workshop on Agri Clinics and Agri Business Centres Scheme.
 CAIE Team enlightened the students on how Agriculture based entrepreneurship can be taken up as a career alternative.

#entepreneurship #agribusiness #student https://t.co/tBAHVAjbB3","['entepreneurship', 'agribusiness', 'student']",0,0,0,0,en,['https://pbs.twimg.com/media/FYvEfYpaMAAuFSO.jpg'],[],[],1405137238996897792,CAIE is a joint initiative of NABARD and RVSKVV to promote entrepreneurship through Agri-startups in the Chambal region of Madhya Pradesh.,CaieGwalior,19
Agri-Clinics And Agri-Business Centres Scheme,Agri-Clinics And Agri-Business Centres,1537736948219285504,Fri Jun 17 10:00:32 +0000 2022,https://twitter.com/team38irp/status/1537736948219285504,agricultural extension system through the promotion of agri-clinics and agri-business centres for enhanced technology dissemination.Electricity -identification of feasible,[],0,0,0,1,en,[],[],[],778804601407442948,We help companies stabilize financial and operational performance by RESTRUCTURING & TURNAROUND addressing problems head-on and driving rapid change to preserve,team38irp,98
Agri-Clinics And Agri-Business Centres Scheme,Agri-Clinics And Agri-Business Centres,1537734352532291584,Fri Jun 17 09:50:14 +0000 2022,https://twitter.com/team38irp/status/1537734352532291584,and Extension privatisation of the agricultural extension system through the promotion of agri-clinics and agri-business centres for enhanced technology,[],0,0,0,0,en,[],[],[],778804601407442948,We help companies stabilize financial and operational performance by RESTRUCTURING & TURNAROUND addressing problems head-on and driving rapid change to preserve,team38irp,98
Agri-Clinics And Agri-Business Centres Scheme,Agri-Clinics And Agri-Business Centres,1537014212450725888,Wed Jun 15 10:08:39 +0000 2022,https://twitter.com/acabc_manage/status/1537014212450725888,An online orientation session for #JanSamarthPortal was organized by MANAGE-AC&amp;ABC for the Nodal Training Institutes (NTIs) under the Agri-Clinics and Agri-Business Centres (AC&amp;ABC) scheme on 15.06.2022. @AgriGoI @chandraagri @managehyderabad https://t.co/sUnZCEqtVG,['JanSamarthPortal'],0,3,1,2,en,"['https://pbs.twimg.com/media/FVSSPRwaUAEi9Z8.jpg', 'https://pbs.twimg.com/media/FVSSPRuaUAEgc9d.jpg', 'https://pbs.twimg.com/media/FVSSPUfaMAEzM9-.jpg', 'https://pbs.twimg.com/media/FVSSPS8aAAAx8J1.jpg']",[],"['AgriGoI', 'chandraagri', 'managehyderabad']",1379718816272293894,"Official account of MANAGE Agri-Clinics and Agri-Business Centres

""Better Farming by Every Farmer""",acabc_manage,882
Agri-Clinics And Agri-Business Centres Scheme,Agri-Clinics And Agri-Business Centres,1534801087370530816,Thu Jun 09 07:34:29 +0000 2022,https://twitter.com/team38irp/status/1534801087370530816,Research and Extension -privatisation of the agricultural extension system through the promotion of agri-clinics and agri-business centres for enhanced technology,[],0,0,0,1,en,[],[],[],778804601407442948,We help companies stabilize financial and operational performance by RESTRUCTURING & TURNAROUND addressing problems head-on and driving rapid change to preserve,team38irp,98
Agri-Clinics And Agri-Business Centres Scheme,Agri-Clinics And Agri-Business Centres,1531554172381716481,Tue May 31 08:32:24 +0000 2022,https://twitter.com/sasiltweets/status/1531554172381716481,"Claim: One lakh Incentive for Agri Students to start Agri Clinics and other agriculture- related businesses.

Truth:Rip-off of the AgriClinic and Agri-Business centres Scheme. In the year 2021- 22, 539 candidates are trained for ACABC and 168 Agri ventures have been established.",[],0,2,0,1,en,[],[],[],1256340287112110080,Founder @KYROIndia | Law | Consultant | Associate Coordinator @IndiaY20 Secretariat 2023 | “நூலாருள் நூல்வல்லன் ஆகுதல் வேலாருள் வென்றி வினையுரைப்பான் பண்பு”,sasiltweets,635
Agri-Clinics And Agri-Business Centres Scheme,Agri-Clinics And Agri-Business Centres,1520269175448506371,Sat Apr 30 05:09:51 +0000 2022,https://twitter.com/agri_today/status/1520269175448506371,"Dr. Shahaji Phand, Principal Coordinator, Agri-Clinics and Agri-Business Centres Scheme, @CiaManage , shares his thoughts on giving wings to agriprenuers development.

#business #development #Entrepreneurs #support #Trending #AatmanirbharBharat https://t.co/nuSxIlvSdF","['business', 'development', 'Entrepreneurs', 'support', 'Trending', 'AatmanirbharBharat']",0,2,0,0,en,"['https://pbs.twimg.com/media/FRkUowYVcAA4yqe.jpg', 'https://pbs.twimg.com/media/FRkUowaVUAAp8f6.jpg']",[],['CiaManage'],1224985086719774721,"AT has continued to have a successful run over the years, due to its rich content and its unique and visually appealing presentation of important information.",agri_today,1170
Agri-Clinics And Agri-Business Centres Scheme,Agri-Clinics And Agri-Business Centres,1499278268276801537,Thu Mar 03 06:59:29 +0000 2022,https://twitter.com/acabc_manage/status/1499278268276801537,"Join us for the webinar on “Augmenting Public Extension Services through Agri-Clinics and Agri-Business Centres” on 05th March 2022 at 10.00 AM IST. Registration Link: https://t.co/j5AflHriTh, @AgriGoI @chandraagri @sagdeshmukh @CgaManage @ManageHyd @fpoacademy https://t.co/lrmsbutK4G",[],0,6,3,0,en,['https://pbs.twimg.com/media/FM6BoVfacAA3hbY.jpg'],[],"['AgriGoI', 'chandraagri', 'sagdeshmukh', 'CgaManage', 'ManageHyd', 'fpoacademy']",1379718816272293894,"Official account of MANAGE Agri-Clinics and Agri-Business Centres

""Better Farming by Every Farmer""",acabc_manage,881
Agri-Clinics And Agri-Business Centres Scheme,Agri-Clinics And Agri-Business Centres,1481221212969652226,Wed Jan 12 11:07:11 +0000 2022,https://twitter.com/4LineLegal/status/1481221212969652226,agricultural extension system through the promotion of agri-clinics and agri-business centres for enhanced technology dissemination.Electricity - identification of feasible,[],0,0,0,0,en,[],[],[],1305108414750584832,"4Line legal professionally managed full-service law firm with Legal Expert, Advocate CA, CS & Insolvency & Valuation professional IT Expert, PAN India all forum",4LineLegal,400
Scholarship Scheme for Girl Children of Jute Mills / MSMEs Workers,Scholarship Scheme for Girl Children of Jute Mills /,1761037293094113529,Fri Feb 23 14:36:23 +0000 2024,https://twitter.com/FinFloww/status/1761037293094113529,"4️⃣ Scholarship scheme for girl children of workers of Jute Mills/MSME JDP Units

Under this scheme, girl children of workers of jute mills are provided with a scholarship of 

- ₹5,000 for secondary education, and
- ₹10,000 for higher Secondary education.",[],3081,45,0,1,en,[],[],[],1392548814964203521,"Fresh read every Monday, Wednesday, and Friday. Business Enquiries: partnerships@finfloww.com",FinFloww,80080
Scholarship Scheme for Girl Children of Jute Mills / MSMEs Workers,Scholarship Scheme for Girl Children of Jute Mills /,1368908875202584579,Mon Mar 08 12:58:03 +0000 2021,https://twitter.com/TexMinIndia/status/1368908875202584579,"More than 22,000 girl children have received assistance under Scholarship Scheme for the Girl Children of Workers of Jute Mills/MSME/JDP Units administered by National Jute Board, Ministry of Textiles.#NariShakti #InternationalWomensDay @smritiirani","['NariShakti', 'InternationalWomensDay']",0,21,5,0,en,[],[],['smritiirani'],2589318188,"Official Twitter account of Ministry of Textiles, Govt. of India
https://t.co/JYm53LQwrx",TexMinIndia,388360
Merit Cum Means Based Scholarship For Students Belonging To The Minority Communities,Merit Cum Means Based Scholarship For Students Belonging To The Minority Communities,1610706669868318721,Wed Jan 04 18:36:10 +0000 2023,https://twitter.com/KRISHNAIASINSTI/status/1610706669868318721,"Three scholarship schemes are implemented for the educational empowerment of students belonging to notified minority communities.
Pre-matric scholarship
Post-matric scholarship
Merit–cum–means based scholarship
To improve transparency in scholarship schemes, a new and revamped...",[],52,0,0,0,en,[],[],[],1606484900953018368,"TEACHING PROFESSIONAL/ECONOMICS/UPSC, OPTIONAL-ECONOMICS /INDIAN ECONOMICS SERVICE/UPSC-GS-INDIAN ECONOMY/WRITING FOR UPSC, OPT.-ECONOMICS, AND IES",KRISHNAIASINSTI,9
Merit Cum Means Based Scholarship For Students Belonging To The Minority Communities,Merit Cum Means Based Scholarship For Students Belonging To The Minority Communities,1542923573861699585,Fri Jul 01 17:30:20 +0000 2022,https://twitter.com/bharath_kiddo/status/1542923573861699585,"@pachchakkili 1. SC/ST belonging to  minority religions are eligible under MERIT CUM MEANS BASED SCHOLARSHIP FOR STUDENTS BELONGING TO THE MINORITY COMMUNITIES is 20000 per annum.
2. Post matric scholarship 3000 per annum + 570 rs per month (hosteler), 300 day scholar
3. Tamilnadu state 1/2",[],0,4,1,1,en,[],[],['pachchakkili'],950462467825479680,பிறப்பால் மனிதன்*இனத்தால் திராவிடன்*மொழியால் தமிழன்*விருப்பால் முனைவர்*நினைப்பால் இயற்பியலாளன்* கல்விசார் உதவிகளுக்கு எப்போதும் செவிகள் தயார்.,bharath_kiddo,31398
Merit Cum Means Based Scholarship For Students Belonging To The Minority Communities,Merit Cum Means Based Scholarship For Students Belonging To The Minority Communities,1419610934457241601,Mon Jul 26 10:49:56 +0000 2021,https://twitter.com/PIBSrinagar/status/1419610934457241601,"The Ministry of Minority Affairs implements Pre-Matric, Post Matric, Merit-cum-Means based Scholarship Schemes and Begum Hazrat Mahal National Scholarship Scheme for the educational empowerment of students belonging to six notified minority communities.. https://t.co/yA2W9UkoAN",[],0,0,0,0,en,[],[],[],902109287480037376,"Official Twitter account of Press Information Bureau, Government of India, Jammu & Kashmir and Ladakh",PIBSrinagar,20263
Merit Cum Means Based Scholarship For Students Belonging To The Minority Communities,Merit Cum Means Based Scholarship For Students Belonging To The Minority Communities,1116274745010421760,Thu Apr 11 09:40:13 +0000 2019,https://twitter.com/kaapi_angadi/status/1116274745010421760,"@vijayadhwaja @narendramodi &gt; #CCEA approves proposal for continuation of Pre-Matric, Post Matric and Merit-cum-Means based Scholarship Schemes for the students belonging to the six notified Minority Communities during 2017-18 to 2019-20

https://t.co/RrDyDsFWSN",['CCEA'],0,1,2,1,en,[],[],"['vijayadhwaja', 'narendramodi']",2279118108,"Love Visiting Ancient Devastanams,Each One is an Education & energy Center. #AutoDriver #Farmer #Business",kaapi_angadi,2091
Merit Cum Means Based Scholarship For Students Belonging To The Minority Communities,Merit Cum Means Based Scholarship For Students Belonging To The Minority Communities,1049179349528850432,Mon Oct 08 06:07:04 +0000 2018,https://twitter.com/NiranGogoi/status/1049179349528850432,"SCHEME OF ‘MERIT CUM MEANS BASED SCHOLARSHIP’ FOR STUDENTS
BELONGING TO THE MINORITY COMMUNITIES",[],0,0,0,0,en,[],[],[],1946055157,,NiranGogoi,13
Merit Cum Means Based Scholarship For Students Belonging To The Minority Communities,Merit Cum Means Based Scholarship For Students Belonging To The Minority Communities,1046630215135514624,Mon Oct 01 05:17:43 +0000 2018,https://twitter.com/Pratap__Rudra/status/1046630215135514624,"@kumarefh https://t.co/CbUeF68Ad4… 

&gt; #CCEA approves proposal for continuation of Pre-Matric, Post Matric and Merit-cum-Means based Scholarship Schemes for the students belonging to the six notified Minority Communities during 2017-18 to 2019-20

https://t.co/2v7z3HSIBY

6/n",['CCEA'],0,0,2,1,en,[],[],['kumarefh'],2294859817,,Pratap__Rudra,1301
Merit Cum Means Based Scholarship For Students Belonging To The Minority Communities,Merit Cum Means Based Scholarship For Students Belonging To The Minority Communities,1024990964946022400,Thu Aug 02 12:11:04 +0000 2018,https://twitter.com/surenderkpal/status/1024990964946022400,"Apply for Pre-matric, Post matric and Merit-cum-means based scholarship schemes for the students belonging to minority communities.

https://t.co/cQ4Tjfb9f7  
https://t.co/V3kE3vwTjY … https://t.co/UmAURs4hdf",[],0,0,0,0,en,['https://pbs.twimg.com/media/DjlOmyvU8AA4FNV.jpg'],[],[],1039564873,"Training and Placement consultant.
For freshers hiring through 
ON CAMPUS / VIRTUAL CAMPUS  / OFF CAMPUS RECRUITMENT DRIVES. 
🙏🙏",surenderkpal,2732
Merit Cum Means Based Scholarship For Students Belonging To The Minority Communities,Merit Cum Means Based Scholarship For Students Belonging To The Minority Communities,1024937073466327041,Thu Aug 02 08:36:55 +0000 2018,https://twitter.com/sourabhbanjee/status/1024937073466327041,"Apply for Pre-matric, Post matric and Merit-cum-means based scholarship schemes for the students belonging to minority communities.

https://t.co/Qjw314mQ1K 
https://t.co/FscGhcGLul https://t.co/YXhHvk5Zpf",[],0,2,0,0,en,['https://pbs.twimg.com/media/DjlOmyvU8AA4FNV.jpg'],[],[],571404107,"Am Microsoft Engineer & Senior S/w Engineer.Admin. to various Univ. in INDIA. I Train the BCA,MCA,B.E,B.Tech,MBA students.
techinfiniteonline@gmail.com",sourabhbanjee,104
Merit Cum Means Based Scholarship For Students Belonging To The Minority Communities,Merit Cum Means Based Scholarship For Students Belonging To The Minority Communities,1021639617429295104,Tue Jul 24 06:14:00 +0000 2018,https://twitter.com/CLILatIndia/status/1021639617429295104,"The Union Cabinet approved the proposal for continuation of pre-matric, post matric and merit-cum-means based scholarship schemes for the students belonging to minority communities at a cost of over Rs 5,000 crore for period up to 2019-20.
https://t.co/T2PhMn3F8M",[],0,2,0,0,en,[],[],[],884296184843558912,#CLILatIndia is about innovative education for a multilingual India. Content and Language Integrated Learning (CLIL) supports better learning outcomes.,CLILatIndia,2680
Merit Cum Means Based Scholarship For Students Belonging To The Minority Communities,Merit Cum Means Based Scholarship For Students Belonging To The Minority Communities,1019772783805517825,Thu Jul 19 02:35:52 +0000 2018,https://twitter.com/bulbulroymishra/status/1019772783805517825,"#CCEA approves proposal for continuation of Pre-Matric, Post Matric and Merit-cum-Means based Scholarship Schemes for the students belonging to the six notified Minority Communities during 2017-18 to 2019-20 https://t.co/YBOpTLev3d",['CCEA'],0,0,0,0,en,['https://pbs.twimg.com/media/Dib18GRWsAcbLKM.jpg'],[],[],4102304893,,bulbulroymishra,235
Merit Cum Means Based Scholarship For Students Belonging To The Minority Communities,Merit Cum Means Based Scholarship For Students Belonging To The Minority Communities,1019557991853494273,Wed Jul 18 12:22:22 +0000 2018,https://twitter.com/AshishMerkhed/status/1019557991853494273,Central Government #Cabinet approves continuation of the Schemes of (i) Pre-Matric Scholarship Scheme; (ii) Post Matric Scholarship Scheme; and (iii) Merit-cum-Means based Scholarship Scheme for the students belonging to Minority Communities :https://t.co/hTHvEnfsKs,['Cabinet'],0,17,15,0,en,[],[],[],2588947579,Partner SAM Corp | Director Singhal E&F P L | Followed by Hon PM Sh. @narendramodi | Loved to Travel | Air Ambulance | Chartered Aviation Services | Consultant,AshishMerkhed,23234
Merit Cum Means Based Scholarship For Students Belonging To The Minority Communities,Merit Cum Means Based Scholarship For Students Belonging To The Minority Communities,1019554530533371904,Wed Jul 18 12:08:37 +0000 2018,https://twitter.com/MIB_India/status/1019554530533371904,#Cabinet approves continuation of the Schemes of (i) Pre-Matric Scholarship Scheme; (ii) Post Matric Scholarship Scheme; and (iii) Merit-cum-Means based Scholarship Scheme for the students belonging to Minority Communities :https://t.co/v31cBNFOwV,['Cabinet'],0,7,4,0,en,[],[],[],920488039,"Official Twitter account of Ministry of Information and Broadcasting, Government of India. Follow @MIB_Hindi for Tweets in Hindi.",MIB_India,1928589
Merit Cum Means Based Scholarship For Students Belonging To The Minority Communities,Merit Cum Means Based Scholarship For Students Belonging To The Minority Communities,1019551533292236801,Wed Jul 18 11:56:42 +0000 2018,https://twitter.com/AlHindWire/status/1019551533292236801,Cabinet approves continuation of the Schemes of (i) Pre-Matric Scholarship Scheme; (ii) Post Matric Scholarship Scheme; and (iii) Merit-cum-Means based Scholarship Scheme for the students belonging to Minority Communities during 2017-18 to 2019-20 https://t.co/QTrIbeg5J7,[],0,0,0,0,en,[],[],[],824877882329554946,"Bring you latest news from India in English, Hindi, Urdu, Tamil, Malayalam, Telugu, Kannada, Marathi, Gujarati, Oriya, Bengali and Assamese",AlHindWire,75
Merit Cum Means Based Scholarship For Students Belonging To The Minority Communities,Merit Cum Means Based Scholarship For Students Belonging To The Minority Communities,1019551529269911552,Wed Jul 18 11:56:41 +0000 2018,https://twitter.com/AlHindWire/status/1019551529269911552,Cabinet approves continuation of the Schemes of (i) Pre-Matric Scholarship Scheme; (ii) Post Matric Scholarship Scheme; and (iii) Merit-cum-Means based Scholarship Scheme for the students belonging to Minority Communities during 2017-18 to 2019-20 https://t.co/0UuUuEwJSt,[],0,0,0,0,en,[],[],[],824877882329554946,"Bring you latest news from India in English, Hindi, Urdu, Tamil, Malayalam, Telugu, Kannada, Marathi, Gujarati, Oriya, Bengali and Assamese",AlHindWire,75
Merit Cum Means Based Scholarship For Students Belonging To The Minority Communities,Merit Cum Means Based Scholarship For Students Belonging To The Minority Communities,1019540189721628672,Wed Jul 18 11:11:38 +0000 2018,https://twitter.com/bulbulroymishra/status/1019540189721628672,"#CCEA approves proposal for continuation of Pre-Matric, Post Matric and Merit-cum-Means based Scholarship Schemes for the students belonging to the six notified Minority Communities during 2017-18 to 2019-20 https://t.co/4CIqvuMRKx",['CCEA'],0,0,0,0,en,['https://pbs.twimg.com/media/DiYiZYVWsAMvUOh.jpg'],[],[],4102304893,,bulbulroymishra,235
Merit Cum Means Based Scholarship For Students Belonging To The Minority Communities,Merit Cum Means Based Scholarship For Students Belonging To The Minority Communities,1019539670693269506,Wed Jul 18 11:09:34 +0000 2018,https://twitter.com/yuvaswapan/status/1019539670693269506,"#CCEA approves proposal for continuation of Pre-Matric, Post Matric and Merit-cum-Means based Scholarship Schemes for the students belonging to the six notified Minority Communities during 2017-18 to 2019-20 https://t.co/SxFXde0DDa",['CCEA'],0,0,0,0,en,['https://pbs.twimg.com/media/DiYh7MlW4AAj2i4.jpg'],[],[],754276593648881664,Chief Editor Of Yuva Swapan Yuva Soch (https://t.co/J1mR1CGvRt),yuvaswapan,2043
Merit Cum Means Based Scholarship For Students Belonging To The Minority Communities,Merit Cum Means Based Scholarship For Students Belonging To The Minority Communities,1019538433486852099,Wed Jul 18 11:04:39 +0000 2018,https://twitter.com/mantralayatimes/status/1019538433486852099,"#CCEA approves proposal for continuation of Pre-Matric, Post Matric and Merit-cum-Means based Scholarship Schemes for the students belonging to the six notified Minority Communities during 2017-18 to 2019-20
HRDMinistry PrakashJavdekar https://t.co/to7s7uWSGh",['CCEA'],0,0,0,0,en,[],['https://video.twimg.com/amplify_video/1019538117227786241/vid/274x180/UiZwAswHocoAV7oj.mp4?tag=3'],[],3270975091,Mantralaya Times is 1st political news agency in India dedicated to support every effort for good governance & to encourage accountability in politics.,mantralayatimes,2307
Merit Cum Means Based Scholarship For Students Belonging To The Minority Communities,Merit Cum Means Based Scholarship For Students Belonging To The Minority Communities,1019538347172061184,Wed Jul 18 11:04:18 +0000 2018,https://twitter.com/PIB_India/status/1019538347172061184,"#CCEA approves proposal for continuation of Pre-Matric, Post Matric and Merit-cum-Means based Scholarship Schemes for the students belonging to the six notified Minority Communities during 2017-18 to 2019-20
@HRDMinistry @PrakashJavdekar https://t.co/f1vXR4MNbp",['CCEA'],0,75,44,42,en,[],['https://video.twimg.com/amplify_video/1019538117227786241/vid/274x180/UiZwAswHocoAV7oj.mp4?tag=3'],"['HRDMinistry', 'PrakashJavdekar']",231033118,Press Information Bureau. Nodal agency for communicating to media on behalf of #Government of #India. In Hindi: @pibhindi For Fact Check: @PIBFactCheck,PIB_India,2908464
Merit Cum Means Based Scholarship For Students Belonging To The Minority Communities,Merit Cum Means Based Scholarship For Students Belonging To The Minority Communities,1019536555470254082,Wed Jul 18 10:57:11 +0000 2018,https://twitter.com/iamnarendranath/status/1019536555470254082,"Cabinet approves proposal for continuation of Pre-Matric, Post Matric and Merit-cum-Means based Scholarship Schemes for the students belonging to the six notified Minority Communities during 2017-18 to 2019-20",[],0,32,16,3,en,[],[],[],67558336,"Journalist by Choice अस्तित्व की तलाश में।सभी तर्क का स्वागत।कुतर्क इग्नोर।बोलो,बोलने दो।विचार व्यक्तिगत।अपने कर्म का जिम्मेदार fellow @cheveningFCDO",iamnarendranath,147819
Merit Cum Means Based Scholarship For Students Belonging To The Minority Communities,Merit Cum Means Based Scholarship For Students Belonging To The Minority,1610706669868318721,Wed Jan 04 18:36:10 +0000 2023,https://twitter.com/KRISHNAIASINSTI/status/1610706669868318721,"Three scholarship schemes are implemented for the educational empowerment of students belonging to notified minority communities.
Pre-matric scholarship
Post-matric scholarship
Merit–cum–means based scholarship
To improve transparency in scholarship schemes, a new and revamped...",[],52,0,0,0,en,[],[],[],1606484900953018368,"TEACHING PROFESSIONAL/ECONOMICS/UPSC, OPTIONAL-ECONOMICS /INDIAN ECONOMICS SERVICE/UPSC-GS-INDIAN ECONOMY/WRITING FOR UPSC, OPT.-ECONOMICS, AND IES",KRISHNAIASINSTI,9
Merit Cum Means Based Scholarship For Students Belonging To The Minority Communities,Merit Cum Means Based Scholarship For Students Belonging To The Minority,1554037279512858624,Mon Aug 01 09:32:14 +0000 2022,https://twitter.com/ksmc_in/status/1554037279512858624,"Ministry of Minority Affairs provides an opportunity to the students belonging to the minority community for availing scholarships under pre-metric, post-metric and merit cum means-based scholarships for the year 2022-23.",[],0,0,0,1,en,[],[],[],1477929243975708673,The Karnataka State Minorities Commission constituted by government in 1983. It’s aimed to implement all safeguards provided for minorities in the Constitution.,ksmc_in,422
