Policy name,Ministry,State,Description,Benefits,Eligibility
Research Fellowship In Sciences For Meritorious Students,Ministry of Education,Central,Introduction The Research Fellowship in Sciences for meritorious students (RFSMS) scheme of the UGC is open to candidates who have registered for Ph.D. in Science in Universities with Potential for Excellence/Centres with Potential for Excellence/Centres of Advance Studies and Department of Special Assistance identified by UGC. ﻿Objectives The objective of the RFSMS scheme is to provide opportunities to meritorious candidates to undertake advanced studies and research leading to Ph.D. degrees in sciences. ,"Nature of Assistance Available Under the Scheme(i)  The tenure of the fellowship is initially for two years under the RFSMS scheme. Upon the expiry of this period, the work of the Fellow will be evaluated by Experts Committee to be set up by the university. (ii)  If the research work is found satisfactory, his/her tenure will be extended for a further period of three years. (iii)  In case the work for the first two years is not found satisfactory, an additional year will be given to him/her for improvement. In such cases work will be evaluated again after three years, and if the improvement is found, the Fellow will get two more years under the RFSMS. ﻿Thus, the total period of fellowship is five years, with no further provision of extension. ﻿Financial Assistance: Fellowship: @ ₹ 8,000/-p.m. Contingency: @ ₹ 6,000/-p.a. Leave: (i)  Research Fellows would be entitled to a maximum period of 30 days of leave in a year in addition to public holidays. They are not entitled to any other vacations. (ii)  Women candidates are eligible for maternity leave of 135 days at full rates of fellowship once during the tenure of their award. (iii)  In special cases, Research Fellows may be allowed leave without fellowship by the Commission for upto one academic year during the entire tenure of the award for accepting teaching assignments on a temporary basis, provided the assignment is in the same city/town. (iii)  In other cases, leave without fellowship will be restricted to a period not exceeding three months during the tenure of the award on the recommendations of the supervisor and the institution. The period of leave without fellowship will be counted towards the total tenure of the award. Research Fellows have to apply for leave through universities/institutions/colleges well in advance for the approval of the Commission. ",Only those candidates who have been registered for Ph.D. in science subjects in Universities with Potential for Excellence/Centres with Potential for Excellence/Centres of Advance Studies and Department of Special Assistance identified by UGC are eligible to apply for fellowship under the scheme. 
Bus Traveling Facility For Visually Impaired/Bus Concession,Delhi,Delhi,"The scheme “Bus Traveling Facility for Visually Impaired/Bus Concession” was started by Delhi Social Welfare Department for persons with disabilities. Under the scheme, Delhi Transport Corporation provides facility of free traveling in DTC Buses to the persons with vision impairment. Facility of concession to the escort is given to those who have not less than 100% blindness. Before applying to the concerned depot, applicant needs to get card from Sub Divisional Magistrate (SDM).",Delhi Transport Corporation provides the facility of free traveling in DTC Buses to persons with vision impairment.The applicant having 100% disability will get a 50% concession for their escort/attendant.,"The applicant must be a resident of Delhi.The applicant should have 40% and above disability.Before applying to the concerned depot, the applicant needs to get the card from Sub Divisional Magistrate (SDM).Note: Facility of concession to the escort is given to those who have not less than 100% blindness."
Food Safety & Standards Authority Of India (FSSAI) Internship Scheme,Ministry Of Health & Family Welfare,Central,"The Internship Program by the FSSAI provides interns with unique learning opportunities in various areas of food regulation of food safety administration. FSSAI is a statutory body established under the Food Safety & Standards Act, 2006 under the aegis of the Ministry of Health & Family Welfare, Government of India. It is the apex body responsible for ensuring food safety and compliance with food standards across the country.﻿TenureThe internship will be available throughout the year on a Quarterly basis, Internship will be offered for a duration of upto 03 months, which may be extended to a maximum period of 06 months. No internship of duration less than two months will be offered.﻿AssignmentsInterns would be attached to one of the several Divisions at FSSAI (HQ)/ROs/Labs depending on the academic and technical training and assigned project(s) related to different aspects of Food and Nutrition Management Processes.﻿Place & Domain of InternshipRegion: FSSAI (HQ), New Delhi; Topics/Subjects: Science & Standards; Regulation; Regulatory Compliance; KRCDC (Library); Human Resource; Finance & Accounts; Trade and International Cooperation/Imports; Quality Assurance; Legal; ITRegion: Regional Offices (Chennai & Kolkata); Topics/Subjects: Food Imports Clearance and LicensingRegion: National Food Laboratory, Ghaziabad, Kolkata and Chennai; Topics/Subjects: Food Sampling and TestingRegion: NFL Kolkata Extension Centre, Raxaul; Topics/Subjects: Food Sampling and Testing","StipendA stipend of ₹ 10,000/- (Rupees ten thousand only) for the internship period will be given to the deserving Interns on the recommendation of the Office/Division that they are attached with by the respective FSSAI (HQ)/Regional Offices / Laboratories.NOTE: The criteria for deserving interns will be decided based on their (a) attendance, (b) assessment by their respective reporting officers; and (c) evaluation of the report by the Committee.﻿Working SpaceFSSAI shall provide working space, internet facility and other necessities. NOTE 1: FSSAI shall not cover local lodging and travel facilities. NOTE 2: FSSAI will not bear the expenses of any Boarding.NOTE 3: Interns would be required to have their own laptops. ﻿CertificateAll the interns will be awarded a certificate by the Human Resource Division, FSSAI (HQ) on successful completion of the internship i.e. on submission, review of final report/presentation and recommendation by the Project Evaluation Committee.﻿","The students pursuing a full-time Graduate/Post Graduate Degree/higher degree from a Recognized Institute within India/ abroad, in any of the following:Post Graduate Degree/B.Tech/BE from a recognized University or Institution in Chemistry or Biochemistry or Food Technology or Food Science & Technology or Food & Nutrition or Edible Oil Technology or Microbiology or Dairy Technology or Agricultural or horticultural Sciences or Industrial Microbiology or Toxicology or Public Health or Life Science or Biotechnology or Fruit & Vegetable Technology or Food Safety & Quality Assurance.Business Administration & Management including policy regulation and related fields.- Only at FSSAI(HQ)PG Diploma/Degree in, Journalism, Mass Communication and Public Relations.B.E. / B. Tech (Only 3rd and 4th Year students not for 2nd or 1st Year) in Computer Science/Information Technology Software Engineering or related Stream.Post Graduate Degree/Diploma in Public Policy Public Administration. - Only forFSSAI (HQ).Bachelor/Master of Law.- Only for FSSAI(HQ).﻿NOTE: All the students who have completed the abovementioned courses need not apply."
National Centre For Communications Security (NCCS) Internship Scheme,Ministry Of Communication,Central,"The National Centre for Communications Security (NCCS) Internship Scheme allows young talent to be associated with the NCCS work for mutual benefit. It will enable NCCS to interact with young scholars and to get fresh ideas and study/ research support from the field of academics. At the same time, it will provide an opportunity for young scholars to contribute to the NCCS work and have an insight into the related technical work. The opportunity enables the young population to acquire knowledge in the areas like Hardware level Security, Source Code analysis (Static and dynamic analysis at HLL, Binary Code Analysis) Crypto algorithm implementation validation and Crypto Module validation, Supply chain vulnerabilities, Run time vulnerabilities in a live network (Advanced Persistent Threats), Back door entry vulnerabilities, Identification of Intentional/ Hidden Malware in Software/ Firmware of equipment.﻿SlotsNCCS will assess the requirement of the interns periodically.The total number of interns engaged shall not exceed 20 (inclusive of Category 1 & 2), at any point in time.﻿DurationFor Category 1: The minimum duration of the internship shall be of sixty days.For Category 2: The minimum duration of the internship shall be of six months, extendable up to a maximum of twelve months.NOTE: Extension beyond six months shall be permitted, on the application of an intern duly recommended by the concerned Head of Division and with the approval of the Head of NCCS.﻿PlacementThe interns would be attached to one of the officers in the Divisions of the NCCS.An orientation workshop will be held for interns at the beginning of the internship. The work of interns will be monitored through periodic interaction with the interns. The attendance record and the details of work supervision shall be maintained by the Divisions/Units in NCCS.﻿Submission of PaperThe interns will be required to submit a Report/Paper on the work undertaken at the end of the internship to the respective Division. The Report shall be signed by the concerned Officer with whom the intern is attached, as an acceptance of the successful completion of the Internship.","Token RemunerationInterns selected under Category 1 will be paid a token remuneration @ ₹ 7,500/- per month on prorate basis.Interns selected under Category 2 will be paid a token remuneration @ ₹ 15,000/- per month on prorate basis.The remuneration shall be paid after the completion of the month subject to satisfactory progress of work duly accepted by the concerned division from the ""Professional Services"" head of Accounts.﻿Certificate of InternshipOn successful completion of the Internship and submission of the Report duly signed and accepted by the competent authority, a Certificate shall be issued by the concerned Division.﻿Logistics & SupportNCCS shall provide them with working space, workplace Internet facility and other necessities as deemed fit by the concerned Head of Division.﻿NOTE: Interns will be required to have their own laptops.","Category 1Indian students from recognized universities in India or abroad, studying in 3rd/ 4th year (Final or pre-final year) in Bachelor's Degree course in Electronics/ Communications/ Telecommunication /Radio/ Information Technology/ Computers / Electrical (with majors in electronics/communications/computers) Engineering or related discipline and secured minimum 60% marks.﻿Category 2Indian students from recognized universities in India or abroad, who have completed Bachelor's Degree courses in Electronics/ Communications/ Telecommunication/ Radio/ Information Technology/ Computers/ Electrical (with majors in electronics/communications/computers) Engineering or related discipline course with a minimum of 60% marks.﻿OR﻿Indian students from recognized universities in India or abroad, who have completed Graduation or pursuing Post Graduate/Master's Degree courses in Electronics/ Communications/ Telecommunication/ Radio/ Information Technology/ Computers/ Electrical Engineering or related discipline courses with a minimum of 60% marks.﻿Reservation / Preference / PriorityCandidates having exposure in the area of intended internship with good academic background and having higher qualifications, based on need shall be given preference.﻿NOTE 1: The qualifications may be relaxed in deserving cases based on the needs of the NCCS, on the recommendations of the Selection Committee and approval of the Head of NCCS.NOTE 2: Possessing minimum qualifications as above shall not guarantee an Internship in NCCS. "
Financial Assistance For Allied Cultural Activities,Ministry Of Culture,Central,"The scheme “Financial Assistance for Allied Cultural Activities” was launched by the Ministry of Culture, Government of India. This scheme is a sub-component of the scheme component ""Financial Assistance for Building Grants Including Studio Theatres"" under “Scheme of Financial Assistance for Creation of Cultural Infrastructure”. The objective of this scheme sub-component is to provide financial assistance for the creation of assets for enhancing the audio-visual spectacle for allied cultural activities to give first-hand experience of live performances on a regular basis and during festivals in open/closed areas/spaces where large numbers of tourists/visitors come regularly and during major events/festivals the number of visitors swells to lakhs.Sanction and Release of Grant:1.	On approval of the project proposal, the Ministry will communicate the decision to the organization, indicating the approved total cost of the project, the quantum of assistance sanctioned the quantum of matching share of the organization, and other terms and conditions for release of the sanctioned amount of assistance.2.	The sanction letter issued by the Ministry for the release of the grant should clearly specify the equipment for which the grant has been sanctioned. The sanction should also specify the purchase of the same make/brand of equipment as contained in the original proposal and as approved by the Competent Authority.3.	The sanctioned amount of assistance will be released in two installments in the following manner:(1) First Installment: The first installment equal to 60% of the sanctioned assistance will be released upon approval of the project proposal/sanction by the Ministry without any further correspondence with the grantee organization.(2) Second and final Installment: The second installment equal to 40% of the sanctioned grant will be released after:(i) The grantee organization has submitted the following documents:(a) Physical and financial progress report on the equipment project from a Chartered Accountant, giving details of equipment purchased, along with a self-attested copy of the invoice bill and coloured photographs.(b) A certificate from Chartered Accountant to the effect that: Some/All equipment as listed hereunder have been purchased out of the cultural equipment approved under the instant project; Remaining equipment shall be procured after receiving the next installment of the grant; and indicating the Valuation of the cost of the equipment purchased and the further amount required to complete the project.(c) The audited statement of accounts of the project, duly signed by a Chartered Accountant.(d) A Utilization Certificate in GFR12-A/GFR12-C from Chartered Accountant, certifying that the first installment of assistance has been fully utilized for the project.(e) A certificate from a Chartered Accountant certifying that the organization has spent 60% of its matching share.(ii) The project has been got physically inspected by officials of the National Council of Science Museums (NCSM)/National Science Centre(NSC)/Ministry of Culture and found an affirmative report for the release of further installments of the grant.Note:(i)	If the final requirement of funds arrived at, falls short of the approved project cost or the amount of matching share spent by the organization is less than 60% of the approved project cost, the amount of the last installment of the grant will be reduced correspondingly.(ii)	The physical inspection report containing before and after photographs of the projects will be uploaded on the social media sites of the Ministry for public feedback.4.	On the recommendations of the Expert Committee, minutes of the meeting would be approved at the level of the Hon’ble Culture Minister (HCM).Conditions of Grant:1.	Separate accounts shall be maintained by the grantee organization in respect of the grants released by the Government of India.2.	The accounts and the site of the project shall be open for inspection by the representatives of the Ministry of Culture at any time for verification.3.	All equipment projects must be completed within a period of one year from the date of release of the 1st installment. If the project is not completed within a period of one year from the date of release of the 1st installment [this excludes the time taken in physical inspection after receiving complete requisite documents from the grantee organization], no further grant shall be released to the organization and the claim will become time-barred.4.	The accounts of the organization will be open to audit at any time by the Comptroller and Auditor General of India or his nominees at his discretion.5.	Within twelve months of the closure of the financial year of the release of the grant or any installment thereof, the grantee should submit to the Government of India a Statement of Accounts audited and certified by a Chartered Accountant setting out the expenditure incurred on the approved project and a Utilization Certificate indicating the utilization of the Government of India grant in the preceding year. If the utilization certificate is not submitted within the said prescribed period, the grantee may be asked to refund immediately the whole amount of the grant received together with interest thereon at the prevailing borrowing rate of the Government of India, failing which the organization may be blacklisted from any future grant/financial support from the Government of India.6.	The grantee shall execute a bond in a prescribed format with two sureties (mentioning therein their complete postal addresses and signature), in favour of the President of India, providing therein that (i) he/she will abide by the conditions of the grant-in-aid by the target dates; and (ii) not to divert the Grants or entrust the execution of the Scheme or work concerned to another institution (s) or Organization(s), and (iii) abide by any other conditions specified in the agreement governing the Grants-in-aid. In the event of his/her failing to comply with the conditions of the grant or committing a breach of the conditions of the Bond, the grantee and the signatories/sureties to the Bond shall be jointly and severally liable to refund to the President of India, the whole or a partial amount of the Grant with interest at ten percent per annum thereon or the sum specified under the Bond.7.	Execution of Bond will not apply to Quasi- Government Institutions, Central Autonomous Organizations, and Institutions whose budget is approved by the Government.8.	The first lien on the assets acquired with Central assistance will vest in the President of India and the equipment shall not be leased or mortgaged to other parties without the prior approval of the Government of India.9.	Assets acquired wholly or substantially out of Government Grants, except those declared as obsolete and unserviceable or condemned in accordance with the procedure laid down in the General Financial Rules, shall not be disposed of without obtaining the prior approval of the authority sanctioned by the Grants-aid.10.	If at any stage the Government is not satisfied with the proper utilization of the Government grant, or of the facilities created out of it, the Government may ask for the refund of the entire amount of the grant together with interest thereon at the prevailing lending rates of the Government of India.11.	The grantee organization will be solely responsible for any violation of the laws governing equipment as may be applicable in the local area.12.	The grantee organizations shall promote/propagate the message of cleaning, conserving, and rejuvenating of River Ganga through audio-visual means among visitors who will come to watch the cultural spectacle. They shall also spread the message of other social sector programmes of the Government of India viz. ‘Swachh Bharat Abhiyan’; ‘Beti Bachao-Beti Padhao’ etc.13.	NCSM will provide an e-platform for Live Streaming of the audio-visual spectacle for which financial assistance will be provided under the scheme.14.	Such other conditions may be imposed by the Government of India from time to time.15.	For closure of the case, the applicant should submit the following documents within 6 months of the closure of the financial year in which the final installment is released:a)	Self-attested copy of invoice bills showing the cost of each item with applicable taxes paid thereon.b)	Project completion report from Chartered Accountant.c)	Certificate from the Chartered Accountant that the organization has spent the full amount of its matching share.","1. Maximum assistance under the scheme component, including applicable duties & taxes and also Operation & Maintenance (O&M) costing for five years, will be as under:(i) Audio: ₹100 Lakh; (ii) Audio+Video: ₹150 Lakh2. All grants under the scheme will be of a non-recurring nature. Recurring expenditures, if any, will be the responsibility of the grantee organization.3. Assistance under this component to an organization will be restricted to a maximum of 90% (including taxes and duties) of the approved estimated project cost along with five years of O&M costs, within the prescribed monetary ceiling. The balance of the approved estimated project cost is to be incurred by the organization as its ‘matching share’.Note: While indicating the cost estimate of the equipment, the applicant organization will have to separately specify the duties & taxes and O&M costs for five years.","Eligible Projects:Grants will be given to projects for procurement of audio-video equipment, which will include: Microphone, Transmitter, Power conditioner, Audio Mixer, Live Encoder, Router, Streaming Transceiver, Broadcast quality video cameras, Hyper Cardioid Microphones, Digital Mixer, Audio Delay Device, Amplifiers, Line Array Speakers, Network Switch, LED Display Controller, Audio De-Embedder, etc.Eligible Organisations:All not-for-profit organizations who are engaged for at least for past three years in presenting the spectacle for allied cultural activities to give first-hand experience of live performances on a regular basis and during festivals in open/closed areas/spaces where large numbers of tourists/visitors come regularly and during major events/festivals the number of visitors swells to lakhs and shall also fulfill the following criteria will be eligible:The organization is registered as a society under the Registration of Societies Act (XXI of 1860) or similar Acts, or as a Trust or as a Not-for-Profit Company, at least for a period of three years; andThe applicant organization will submit a recommendation letter in the prescribed format (Annexure-I) from the District Authority (District Magistrate/District Collector/Deputy Commissioner) in this regard Or State Governments/Union Territories/District Authorities."
Summer Internship Scheme Of DGFT,Ministry Of Commerce And Industry,Central,The Summer Internship Scheme by the Directorate General of Foreign Trade is for the interaction of the officers of the Directorate with young scholars and researchers with brilliant academic backgrounds from reputed academic institutions pursuing Studies/Research in Public Policy/Economics/Law/Finance/Management. While refreshing ideas from the field of academics will enable the Directorate to critically analyze its activity and take corrective steps in an objective and impartial manner. The internship will provide an excellent opportunity for the interns in their carrier advancement and professional expertise. The objective of the internship is to familiarize interns with the overall process of formulation of foreign trade policy of the Government at the macro level and its implementation by DGFT at the micro level.﻿DurationThe duration of the internship will be for a maximum period of 2 months.﻿Declaration of SecrecyInterns are required to furnish to this Directorate a declaration of Secrecy before the commencement of the internship.﻿LocationDGFT headquarters in New Delhi. The interns will be attached to the heads of each Division and will be reporting to them directly.,"RemunerationInterns will be paid a consolidated token remuneration of ₹10,000/- per month. ﻿Logistics SupportNecessary logistics support will be provided to the intern taking into account the functional requirements.﻿CertificateCertificates will be issued to the interns on satisfactory completion of their internship.",The applicant should be an Indian national.The applicant should be pursuing their studies from India or abroad.The applicant should have an excellent academic record.The applicant should possess a graduation degree in Public Policy/Economics/Finance/Management/Law.The applicant should have secured at least 60% marks in the graduation degree.The applicant should have pursued graduation from one of the following institutions -                   a)    National Schools of Law                  b)    Central Universities                  c)    AICTE recognized Financial/Economics Institutions                  d)    Recognized National Management Institutes                  e)    Foreign Universities                  f)    Institutions of excellence
Scheme Of Financial Assistance For The Preservation And Development Of Cultural Heritage Of The Himalayas,Ministry Of Culture,Central,"The scheme “Scheme of Financial Assistance for the Preservation and Development of Cultural Heritage of the Himalayas” was launched by the Ministry of Culture, Government of India. The objective of the scheme is to promote, protect and preserve the cultural heritage of the Himalayan region spreading in UT of Jammu & Kashmir, UT of Ladakh, Himachal Pradesh, Uttrakhand, Sikkim, and Arunachal Pradesh through research, documentation, dissemination, etc.Mode of and Conditions for Release of Grants:The grant shall be given based on the appraisal of applications and recommendations by the Expert Advisory Committee and thereafter administrative approval and financial concurrence of competent authorities in the Ministry of Culture.The grants will be paid in two equal installments, the first being normally released with the approval of the project. The second installment will be released on completion of the project and on receipt of duly audited statement of accounts showing the utilization of the entire amount of grant plus the share of the grantee/concerned State/U.T. Government and other documents. The release of the balance of the grant will be decided on the basis of the actual expenditure incurred on the project subject to the maximum limit.An organization in receipt of financial assistance under the scheme shall be open to inspection by an officer of the Ministry of Culture, Government of India, or the State Government concerned.The accounts of the project shall be maintained properly and separately and submitted to the Government of India as and when required and will be subject to check by an officer of the Central Government or the State Government or by the Comptroller and Auditor General of India at his discretion.The organization shall maintain a record of all assets acquired wholly or substantially out of the Central Government grant and shall not dispose of or encumber or utilize for purposes other than those for which the grant was given without prior approval of the Government of India.If at any time, the Government of India has reason to believe that the sanctioned money is not being utilized for approved purposes, the payment of the grant may be stopped and the earlier grants recovered.The organization must exercise reasonable economy in the working of the approved project.The grantee organization shall furnish to the Ministry of Culture a quarterly progress report of the project indicating in detail both the physical achievements and the expenditure incurred on each of the approved items separately.The grantee shall submit three copies of the Project Report duly bound/Audio-Video CDs/Photographs to the Ministry of Culture and one copy to the State Government where the project has been undertaken.Applications of the organizations against which the previous grant/ Utilisation certificate is pending will not be considered.Mode of Payment: All payments will be made through electronic transfers.Special Provision:The Expert Advisory Committee (EAC) on the scheme is empowered to recommend or reject any proposal received without or with the recommendation of State Government/U.T. administration/ Local Administration and also to recommend the amount beyond the maximum limit but not exceeding ₹30.00 lacs from this scheme, in respect of any proposal which is of outstanding merit for which the EAC feels that the maximum limit would not be sufficient for undertaking the said project, with the approval of Minister (Culture) and concurrence of AS & FA, Ministry of Culture.Inspection & Monitoring:Inspection would be carried out by Ministry officials every year at least in 5% of the cases. The concerned State Govt., District Collector/Dy. Commissioner will also monitor.Penalties in case of Misutilisation of grants:The members of the executive body of the organization would be liable for the recovery of misused grants. The organization will also be blacklisted for misuse of funds, fake registration certificate, etc. All immovable assets created from the Government grants would be taken over by local administration prescribed by the Ministry of Culture.","The financial assistance is given for any of the items listed below up to a maximum of ₹10.00 lakhs to any single organization:Sl. No.ItemsMaximum amount per annum1Study and research on cultural heritage               ₹10.00 lakhs2Preservation of old manuscripts, literature, art & crafts, and documentation of cultural activities/ events like music, dance, etc.               ₹10.00 lakhs3Dissemination through audio-visual programmes of art and culture               ₹10.00 lakhs4Training in Traditional and Folk Art               ₹10.00 lakhsNote 01: The maximum grant admissible to an organization would be 75% of the total expenditure to be incurred on any item subject to the maximum ceiling fixed. The remaining 25% expenditure or more should be met by the State Govt./U.T.Note 02: Administration failing which the grantee organization could contribute the amount from their own resources. However, in the case of Arunachal Pradesh and Sikkim, funding will be shared between the Government of India and the organization in the ratio of 90:10 respectively.","The voluntary organization should be registered as a society under the Societies Registration Act 1860 or as a public trust under Indian Trust Act, 1882, and shall have been functioning for a period of three years.Colleges and Universities are also eligible to apply.The organization should have the capacity to undertake and promote research projects. It should have facilities, resources, and personnel to implement the scheme for which the grant is required.A college applying for the grant should be affiliated with the University.Grants from this scheme will be given only to those organizations which are not in receipt of grants from any other source for similar purposes.Note 01: The Colleges and Universities should introduce in their curriculum or research course aspects of studies relating to the preservation of Himalayan art and culture, in case not already done.Note 02: The grants will be ad-hoc and of non-recurring nature.Note 03: Organizations that are doing good work in the field and have resources for meeting matching funds will be given preference."
High Risk - High Reward Research,Ministry Of Science And Technology,Central,"The Scheme “High Risk - High Reward Research” is implemented by the Science and Engineering Research Board, Department of Science and Technology, Government of India with the aim to support proposals that are conceptually new and risky, and if successful, expected to have a paradigm-shifting influence on the S&T. This may be in terms of formulating a new hypothesis, or scientific breakthroughs which aid in emergence of new technologies. Nature of Proposals to be Supported:The scheme is aimed at supporting proposals that are new, challenge existing hypothesis, and provide 'out of box' thinking on important problems. It should contain significant risk elements but promise of high reward if the difficulties could be circumvented. It is expected that the success of such proposals will have far-reaching implications in S&T. Outcome could be new and significant theoretical or experimental advances, formulation of new hypothesis, or breakthrough science which will lead to new technologies. Proposals that address scientific issues which will result in 'incremental' knowledge will not be supported. Ideally, the proposal must contain bold research ideas which will have wide-ranging impact and potential for new scientific and technological innovations.Duration of Support:The funding is provided normally for a period of three years. In exceptional cases, the duration can be up to 5 years as assessed by the expert committee.","1.	No budget limit is prescribed for this type of project.2.	The research grant covers equipment, consumables, contingency and travel apart from overhead grants.","Applicant should be an Indian citizen residing in India.The applicant(s) must hold a regular academic/research position in a recognized institution.The proposals can be submitted by an individual or by a team of investigators. Proposals submitted by a team of investigators must identify a Principal Investigator, who will spearhead the research objectives and administer the grant."
National Talent Scholarship Postgraduate,Ministry Of Agriculture and Farmers Welfare,Central,"National Talent Scholarship (NTS) was launched by the Indian Council of Agricultural Research for students pursuing a master's degree program in an ICAR-recognized agricultural university located outside of his/her state of domicile and duly funded under the planning scheme “Strengthening and Development of Higher Agricultural Education in India"" of the Education Division of the ICAR. The amount of the scholarship is ₹ 3000/- per month for a Master's (Post Graduate). The scholarship will be awarded initially for a period of one year from the date the student actually takes admission and shall be renewed for the remaining duration of the undergraduate degree program subject to his/her maintenance of good academic performance and conduct as specified by the concerned university.The Scholarship will be awarded initially for a period of one year from the date the student actually takes admission to the Agricultural University for pursuing under Graduate degree programme in agriculture and related disciplines with both course work and practice leading to the award of a Master's Degree. The scholarship is will be renewed for the remaining duration of the undergraduate degree programme subject to his/her maintenance of good academic performance and conduct as specified by the concerned university.﻿","The value of the scholarship shall be Rs 3,000/- per month to postgraduate (Master's degree) students at present. No contingency grant is paid.",A student is eligible for the scholarship provided he/she: • Takes up studies in approved courses and takes admission in the Agricultural University located outside their State of domicile. • Maintains merit and good conduct as certified by Head of the College ' University ' Institution. • Does not remain absent without prior permission and does not participate in any agitation! strike etc. during the period.• Takes up studies on a wholetime basis and docs not take up any job even on pan time basis. • Does not accept any other scholarship during the course of undergraduate study. • Docs not leave his/her course of study within one month of the admission otherwise no scholarship shall be paid to him/her. • Does not subsequently change the initial subject allocated for which he/she has been awarded the NTS during his studies.﻿
Biotechnology Career Advancement And Re-orientation (BioCARe) Programme For Women Scientists,Ministry Of Science And Technology,Central,"Biotechnology Career Advancement and Re-orientation (BioCARe) Programme, a special scheme of the Department of Biotechnology (DBT), Ministry of Science & Technology, the government of India aims to enhance the participation of women scientists in India towards research in Biotechnology and allied area. The program is mainly for the career development of unemployed female scientists for whom it will be the first “sanctioned” extramural research funding. Through this endeavor of the Department, a concerted effort would be made to give women scientists a strong foothold into the scientific profession, to help them re-enter the mainstream, and to provide a launch pad for further forays into the field of science and technology. Accordingly, applications are invited from Indian female scientists to apply to the program. On the behalf of Department of Biotechnology, this program is being managed by the Processing and Management Unit (PMU) established at International Centre for Genetic Engineering and Biotechnology (ICGEB), New Delhi.","Date of Commencement of Project & its DurationThe duration of the project is of three (3) years and is specified in the sanction order. The project starting date will be effective from the date on which the candidate joins the Institution but within 45 days from the date of issuance of the sanction order. The date of receipt of the grant should be intimated by the Institution authorities/Mentor and Nodal officer to this Department. It will, in no case be later than 15 days after the receipt of the grant by the Institute. The successful candidates have to join their host institution within 45 days from the date of issuance of the sanction order, or else it would be withdrawn.﻿Project Cost & Fellowship to Project InvestigatorProject Cost & Fellowship: Based on the applicant's qualifying degree, the budget support is provided in the following two categories:﻿Category: Category-IQualifying Degree: Ph.D. in any discipline of Life Sciences or allied areas or interdisciplinary sciences /MD/MDS/M.V.Sc. Research Grant: Restricted up to ₹ 60,00,000 (includes consolidated Fellowship of ₹ 68,000/month).﻿Category: Category-IIQualifying Degree: M.Tech. in Biotechnology or allied areas / MPharma/ equivalent degree.Research Grant: Restricted up to ₹ 40,00,000 (Includes consolidated Fellowship of ₹ 50,000/month)."," Eligible Areas for Financial Support1. Animal and Marine Biotechnology or allied areas.2. Bioengineering and Biomaterials or allied areas.3. Medical Biotechnology or allied areas.4. Environmental Biotechnology and Bioenergy or allied areas.5. Plant and Agriculture Biotechnology or allied areas.﻿1. Employment: a)   Candidates in regular or permanent employment are not eligible to apply for BioCARe. b)   Women scientists who are working in any temporary positions in research or academics may apply for the scheme but they have to leave their earlier assignment if a project is approved for them under BioCARe program. c)   Candidates who have already received any extramural funding as Principal Investigator for research from any Govt. Funding Agency/Government-supported funding agency is not eligible to apply under this program as it should be their first sanctioned and independent project for research.﻿2. Age: The woman scientist should be upto/below 55 years, as of the last date of the submission of the application. ﻿3. Educational Qualification: a)    Category-I: Women Scientists who have completed a Ph.D. in any discipline of Life Sciences or allied areas/interdisciplinary sciences/MD/MDS/ M.V.Sc.b)    Category-II: Women Scientists who have completed M.Tech in Biotechnology or in allied areas/MPharma/ -Degree holders ﻿NOTE: Candidates who are registered in Ph.D. and receiving any fellowships are not eligible to apply. ﻿For the MentorShe/he should be a permanent employee at the Host Institute and should not be a spouse or relative of the applicant. He/She will be the person in whose laboratory & under whose supervision the applicant intends to carry out the project under the BioCARe program. The proposal submitted under the BioCARe scheme should be the applicant’s initiative and should not be an extension of the Mentor’s research. The proposed research is expected to complement and benefit from the Mentor’s research interests and expertise. The Mentor must have at least 5 years of service remaining. The Mentor must guarantee the applicant access to laboratory space and resources required for the project, and provide relevant scientific guidance and career advice for the tenure of the project. The Mentor must have at least three ongoing and/or four successfully completed extramural research projects in the last five years, funded by government/government-supported agencies as PI.﻿For the Institution An applicant can submit his application for a research grant from a government-supported/government funded (such as central universities, state universities, autonomous institutions, Private Universities/Institutes etc.) or an Indian “non-profit” Institution. The Institution will be required to adhere to the guidelines & conditions outlined by the Department of Biotechnology (DBT), Government of India. "
